Name,Country,Profile,Period,Commodity,TradingDate,ExpiryDate,Contract,Underlying,Maturity,DeliveryStart,DeliveryEnd,Unit,ContractVolume,Type,Strike,SettlementPrice
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,33.5,0.15
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,34,0.174
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,34.5,0.201
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,29,17.95
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,29.5,17.457
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,24.5,0.003
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,25,0.004
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,25.5,0.006
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,31.5,0.08
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,32,0.094
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,P,32.5,0.111
Phelix-DE/AT Base Year Option,German-Austrian,Base,Year,Options,2019-11-19,2020-06-25,O1BY,F1BY 2021.01,2020.07,2021-01-01,2021-12-31,EUR/MWh,8760,C,55,0.975
